Metrics with cutoff@20:
qid: 1, n_dcg: 0.308433, q_measure: 0.172835, n_err: 0.151677
qid: 2, n_dcg: 0.356560, q_measure: 0.288142, n_err: 0.273069
qid: 3, n_dcg: 0.142772, q_measure: 0.072553, n_err: 0.175643
qid: 4, n_dcg: 0.084561, q_measure: 0.033337, n_err: 0.102406
qid: 5, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 6, n_dcg: 0.073771, q_measure: 0.013194, n_err: 0.076332
qid: 7, n_dcg: 0.085773, q_measure: 0.033740, n_err: 0.117675
qid: 8, n_dcg: 0.130537, q_measure: 0.054847, n_err: 0.093876
qid: 9, n_dcg: 0.011206, q_measure: 0.001786, n_err: 0.018644
qid: 10, n_dcg: 0.672321, q_measure: 0.662470, n_err: 0.936712
qid: 11, n_dcg: 0.214115, q_measure: 0.169447, n_err: 0.459772
qid: 12, n_dcg: 0.260066, q_measure: 0.160952, n_err: 0.291041
qid: 13, n_dcg: 0.358862, q_measure: 0.185513, n_err: 0.967501
qid: 14, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 15, n_dcg: 0.143681, q_measure: 0.049093, n_err: 0.334706
qid: 16, n_dcg: 0.081880, q_measure: 0.031452, n_err: 0.284249
qid: 17, n_dcg: 0.398100, q_measure: 0.290516, n_err: 0.910531
qid: 18, n_dcg: 0.060881, q_measure: 0.012436, n_err: 0.058568
qid: 19, n_dcg: 0.189358, q_measure: 0.154828, n_err: 0.473725
qid: 20, n_dcg: 0.336352, q_measure: 0.197272, n_err: 0.877764
qid: 21, n_dcg: 0.238692, q_measure: 0.108899, n_err: 0.851226
qid: 22, n_dcg: 0.297853, q_measure: 0.169375, n_err: 0.658483
qid: 23, n_dcg: 0.310965, q_measure: 0.186796, n_err: 0.321065
qid: 24, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 25, n_dcg: 0.259758, q_measure: 0.249850, n_err: 0.210766
qid: 26, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.065254
qid: 27, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 28, n_dcg: 0.499247, q_measure: 0.394218, n_err: 0.832205
qid: 29, n_dcg: 0.435830, q_measure: 0.418139, n_err: 0.223970
qid: 30, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 31, n_dcg: 0.199283, q_measure: 0.112218, n_err: 0.356825
qid: 32, n_dcg: 0.109906, q_measure: 0.065649, n_err: 0.244931
qid: 33, n_dcg: 0.209936, q_measure: 0.084924, n_err: 0.163098
qid: 34, n_dcg: 0.623195, q_measure: 0.545822, n_err: 0.606462
qid: 35, n_dcg: 0.188902, q_measure: 0.102957, n_err: 0.452434
qid: 36, n_dcg: 0.022263, q_measure: 0.004652, n_err: 0.029684
qid: 37, n_dcg: 0.270227, q_measure: 0.178958, n_err: 0.543252
qid: 38, n_dcg: 0.346933, q_measure: 0.264890, n_err: 0.481365
qid: 39, n_dcg: 0.153612, q_measure: 0.105002, n_err: 0.388150
qid: 40, n_dcg: 0.171643, q_measure: 0.064753, n_err: 0.181749
qid: 41, n_dcg: 0.336232, q_measure: 0.287833, n_err: 0.461649
qid: 42, n_dcg: 0.042938, q_measure: 0.010250, n_err: 0.078318
qid: 43, n_dcg: 0.560117, q_measure: 0.384460, n_err: 0.929802
qid: 44, n_dcg: 0.246756, q_measure: 0.089931, n_err: 0.406798
qid: 45, n_dcg: 0.196214, q_measure: 0.134132, n_err: 0.396802
qid: 46, n_dcg: 0.430865, q_measure: 0.282456, n_err: 0.284323
qid: 47, n_dcg: 0.479937, q_measure: 0.459021, n_err: 0.516997
qid: 48, n_dcg: 0.352031, q_measure: 0.248438, n_err: 0.758304
qid: 49, n_dcg: 0.218838, q_measure: 0.103367, n_err: 0.168554
qid: 50, n_dcg: 0.081896, q_measure: 0.018056, n_err: 0.108234
qid: 51, n_dcg: 0.794001, q_measure: 0.678010, n_err: 0.997700
qid: 52, n_dcg: 0.229853, q_measure: 0.186056, n_err: 0.287792
qid: 53, n_dcg: 0.189633, q_measure: 0.145784, n_err: 0.159327
qid: 54, n_dcg: 0.557968, q_measure: 0.388163, n_err: 0.949415
qid: 55, n_dcg: 0.314770, q_measure: 0.173503, n_err: 0.458068
qid: 56, n_dcg: 0.585531, q_measure: 0.522325, n_err: 0.949989
qid: 57, n_dcg: 0.075430, q_measure: 0.021236, n_err: 0.126989
qid: 58, n_dcg: 0.276657, q_measure: 0.150280, n_err: 0.282806
qid: 59, n_dcg: 0.169287, q_measure: 0.044338, n_err: 0.297166
qid: 60, n_dcg: 0.133684, q_measure: 0.029620, n_err: 0.285571
qid: 62, n_dcg: 0.459520, q_measure: 0.265500, n_err: 0.667799
qid: 63, n_dcg: 0.262174, q_measure: 0.199021, n_err: 0.497948
qid: 64, n_dcg: 0.752542, q_measure: 0.552833, n_err: 0.985204
qid: 65, n_dcg: 0.066510, q_measure: 0.013072, n_err: 0.087011
qid: 66, n_dcg: 0.460001, q_measure: 0.298861, n_err: 0.436004
qid: 68, n_dcg: 0.163028, q_measure: 0.101736, n_err: 0.417433
qid: 69, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 70, n_dcg: 0.957773, q_measure: 0.821429, n_err: 0.861559
qid: 71, n_dcg: 0.032506, q_measure: 0.004211, n_err: 0.030231
qid: 72, n_dcg: 0.071582, q_measure: 0.011012, n_err: 0.053351
qid: 73, n_dcg: 0.125676, q_measure: 0.034015, n_err: 0.160901
qid: 74, n_dcg: 0.088574, q_measure: 0.028571, n_err: 0.060941
qid: 75, n_dcg: 0.332706, q_measure: 0.221384, n_err: 0.239204
qid: 76, n_dcg: 0.091288, q_measure: 0.026786, n_err: 0.105844
qid: 79, n_dcg: 0.312435, q_measure: 0.198833, n_err: 0.412812
qid: 80, n_dcg: 0.052911, q_measure: 0.025000, n_err: 0.261016
===================
avg ndcg: 0.246702, avg q-measure: 0.168435, avg n-err: 0.360483
