Metrics with cutoff@10:
qid: 1, n_dcg: 0.105131, q_measure: 0.045893, n_err: 0.123946
qid: 2, n_dcg: 0.293708, q_measure: 0.245367, n_err: 0.268316
qid: 3, n_dcg: 0.164006, q_measure: 0.093426, n_err: 0.163858
qid: 4, n_dcg: 0.060255, q_measure: 0.032361, n_err: 0.072534
qid: 5, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 6, n_dcg: 0.020012, q_measure: 0.005556, n_err: 0.029002
qid: 7, n_dcg: 0.068284, q_measure: 0.041369, n_err: 0.094215
qid: 8, n_dcg: 0.019097, q_measure: 0.005000, n_err: 0.026102
qid: 9, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 10, n_dcg: 0.723340, q_measure: 0.792014, n_err: 0.936589
qid: 11, n_dcg: 0.268260, q_measure: 0.237708, n_err: 0.455110
qid: 12, n_dcg: 0.303688, q_measure: 0.199960, n_err: 0.288749
qid: 13, n_dcg: 0.484351, q_measure: 0.313333, n_err: 0.964724
qid: 14, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 15, n_dcg: 0.086230, q_measure: 0.062500, n_err: 0.287122
qid: 16, n_dcg: 0.097387, q_measure: 0.062903, n_err: 0.284280
qid: 17, n_dcg: 0.461215, q_measure: 0.450107, n_err: 0.908757
qid: 18, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 19, n_dcg: 0.246706, q_measure: 0.245714, n_err: 0.466296
qid: 20, n_dcg: 0.429746, q_measure: 0.330139, n_err: 0.876492
qid: 21, n_dcg: 0.290150, q_measure: 0.170714, n_err: 0.842717
qid: 22, n_dcg: 0.420162, q_measure: 0.338750, n_err: 0.658490
qid: 23, n_dcg: 0.169992, q_measure: 0.091905, n_err: 0.293832
qid: 24, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 25, n_dcg: 0.189030, q_measure: 0.197629, n_err: 0.195325
qid: 26, n_dcg: 0.063438, q_measure: 0.000000, n_err: 0.000000
qid: 27, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 28, n_dcg: 0.612840, q_measure: 0.583661, n_err: 0.830965
qid: 29, n_dcg: 0.316457, q_measure: 0.259295, n_err: 0.218873
qid: 30, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 31, n_dcg: 0.107181, q_measure: 0.083036, n_err: 0.311731
qid: 32, n_dcg: 0.145075, q_measure: 0.108571, n_err: 0.235215
qid: 33, n_dcg: 0.095500, q_measure: 0.048333, n_err: 0.124394
qid: 34, n_dcg: 0.678458, q_measure: 0.637778, n_err: 0.606355
qid: 35, n_dcg: 0.204797, q_measure: 0.165625, n_err: 0.440602
qid: 36, n_dcg: 0.000000, q_measure: 0.000000, n_err: 0.000000
qid: 37, n_dcg: 0.354206, q_measure: 0.326667, n_err: 0.540051
qid: 38, n_dcg: 0.270529, q_measure: 0.223811, n_err: 0.455742
qid: 39, n_dcg: 0.171806, q_measure: 0.162143, n_err: 0.377611
qid: 40, n_dcg: 0.096165, q_measure: 0.037500, n_err: 0.148799
qid: 41, n_dcg: 0.328360, q_measure: 0.294650, n_err: 0.457886
